DistrictName,TehsilName,UCName,VisitDate,RefCode,SchoolName,SchoolMauza,SchoolAddress,PhoneNumber,TotalAreaKanal,TotalAreaMarla,GPS_North,GPS_East,EstablishmentYear,SchoolLocation,SchoolLevel,SchoolGender,RegistrationStatus,RegistrationNo,BISEAffiliated,BISEName,SchoolCategory,School Category,MediumOfInstruction,NoOfClassRooms,Fac_DrinkingWater,Fac_BoundaryWall,Fac_Electricity,Fac_Toilet,Fac_StaffRoom,Fac_PlayGround,Fac_UPSGenerator,Fac_MultipurposeHall,Fac_OfficeComputer,Fac_ComputerLab,Fac_ScienceLab,Fac_Library,Fac_Transport,Fac_Hostel,BuildingOwnership,Enrolment_PN_Boys,Enrolment_PN_Girls,Enrolment_NU_Boys,Enrolment_NU_Girls,Enrolment_PR_Boys,Enrolment_PR_Girls,Enrolment_01_Boys,Enrolment_01_Girls,Enrolment_02_Boys,Enrolment_02_Girls,Enrolment_03_Boys,Enrolment_03_Girls,Enrolment_04_Boys,Enrolment_04_Girls,Enrolment_05_Boys,Enrolment_05_Girls,Enrolment_06_Boys,Enrolment_06_Girls,Enrolment_07_Boys,Enrolment_07_Girls,Enrolment_08_Boys,Enrolment_08_Girls,Enrolment_09S_Boys,Enrolment_09A_Boys,Enrolment_09S_Girls,Enrolment_09A_Girls,Enrolment_10S_Boys,Enrolment_10A_Boys,Enrolment_10S_Girls,Enrolment_10A_Girls,Enrolment_11S_Boys,Enrolment_11A_Boys,Enrolment_11S_Girls,Enrolment_11A_Girls,Enrolment_12S_Boys,Enrolment_12A_Boys,Enrolment_12S_Girls,Enrolment_12A_Girls,Enrolment_OLS_Boys,Enrolment_OLA_Boys,Enrolment_OLS_Girls,Enrolment_OLA_Girls,Enrolment_ALS_Boys,Enrolment_ALA_Boys,Enrolment_ALS_Girls,Enrolment_ALA_Girls,TeachingStaffMale,TeachingStaffFemale,NonTeachingStaffMale,NonTeachingStaffFemale,MultiGradeClassesClubbed,TextBooksUsed,TextBooksOtherName,Teachers_FAFSC_Male,Teachers_FAFSC_Female,Teachers_BABSC_Male,Teachers_BABSC_Female,Teachers_MAMSC_Male,Teachers_MAMSC_Female,EnumeratorID,EnumeratorName
KHANEWAL,KHANEWAL,MC KHANEWAL,8-Nov-16,36490350,SCIENCE HIGHER SECONDARY SCHOOL (BOYS),MC KHANEWAL,CIVIL LINE KHANEWAL,0652557511,4,,30.2991018,71.9206826,1984,Urban,High,Girls,Registered,559,Yes,BISE Multan,21,Private Registered,English,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Owned,23,19,56,36,60,50,,53,,57,,48,,49,,41,,42,,40,,38,,,34,,,,32,,,,,,,,,,,,,,,,,,,37,,3,,Oxford,,,,,24,,13,364210,Zulfiqar Ali
KHANEWAL,KHANEWAL,MC KHANEWAL,8-Nov-16,36490362,YOUNG SCHOLARS SCHOOL & COLLEGE MAIN CAMPUS,N/A,4 GULBERG KHANEWAL,0652502282,6,,30.3085102,71.9403192,2014,Urban,High,Both,Registered,379,Yes,BISE Multan,21,Private Registered,English,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Owned,12,5,11,10,16,9,28,8,18,13,23,14,31,8,25,7,67,,54,,87,,62,,,,71,,,,,,,,,,,,,,,,,,,,6,29,5,1,,Oxford,,,,,3,6,26,364210,Zulfiqar Ali
KHANEWAL,MIAN CHANNU,CHAK NO.100/15-L,7-Nov-16,36490134,MUSLIM PUBLIC BOYS HIGHER SECONDARY 67/15.L,67/15L,67/15L ,03027452262,8,,30.1839865,72.2192168,1992,Rural,High,Boys,Registered,488,Yes,BISE Multan,21,Private Registered,Urdu,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Owned,,,58,,30,,35,,29,,35,,36,,36,,45,,69,,57,,106,,,,109,,,,,,,,,,,,,,,,,,,,15,7,4,,,PCTB,,3,2,8,3,4,2,364307,Muhammad Akram
KHANEWAL,MIAN CHANNU,CHAK NO.100/15-L,16-Nov-16,36491205,IMAM DIN TAMEER-E-MILLAT HIGH SCHOOL ,129/15L,CHAK NO 129/15L MIAN CHANNU ,0321-7822283,32,,30.4684862,72.3764795,2000,Rural,High,Both,Registered,0574,Yes,BISE Multan,21,Private Registered,Mixed,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Others,25,13,51,29,46,34,56,39,37,23,45,36,40,28,47,25,28,34,25,27,28,21,15,,13,,26,2,17,,,,,,,,,,,,,,,,,,5,56,13,6,,PCTB,PTCB,,3,,28,5,25,364313,Muhammad Iqbal Ansari
KHANEWAL,MIAN CHANNU,CHAK NO.100/15-L,10-Nov-16,36490539,DIVISIONAL PUBLIC SCHOOL TULAMBA,TULAMBA,BEWA DANI ROAD TALAUBA,065-2440684,4,,30.5230284,72.246557,2009,Urban,High,Both,Registered,"547 , 548",No,,15,Divisional Public School (DPS),English,19,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Owned,7,10,20,12,18,14,25,16,28,12,24,19,12,10,16,9,18,13,29,14,26,9,28,,15,,21,,14,,,,,,,,,,,,,,,,,,10,15,12,2,,PCTB,"PTB ,OXFORD",1,,2,2,7,13,364313,Muhammad Iqbal Ansari
KHANEWAL,MIAN CHANNU,CHAK NO.102/15-L,11-Nov-16,36490739,THE RISE PUBLIC SCHOOL 91/15.L,102/15. L,PUL 59/ 15 .L,03443404291,4,,30.24858333,72.27908333,2012,Rural,Middle,Both,Registered,358,No,,31,Punjab Education Foundation (PEF),Mixed,27,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Owned,,,46,24,35,36,72,31,78,49,48,51,42,20,33,37,18,13,5,14,10,17,,,,,,,,,,,,,,,,,,,,,,,,,2,22,2,,,PCTB,,,18,1,3,1,1,364301,Muhammad Tanawar
KHANEWAL,MIAN CHANNU,CHAK NO.134/16-L,21-Nov-16,36491355,AL KHAIR SCHOOL &COLLEGE ,134/16L,MOHSINWAL,03007879615,8,10,30.4062974,72.2518496,2007,Rural,HigherSecondary,Both,Registered,0225,No,,21,Private Registered,Mixed,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Owned,29,13,44,19,41,42,54,30,40,28,25,22,36,14,22,17,21,18,9,11,20,7,2,7,12,5,22,5,14,8,,,,7,,,,13,,,,,,,,,5,33,5,2,,PCTB,,,4,3,10,2,19,364305,Nausher Ali
KHANEWAL,MIAN CHANNU,CHAK NO.134/16-L,21-Nov-16,36491351,THE NATION SCHOOL ,134/16-L,TULAMBA RD MOHSINWAL,0652616042,16,,30.4040129,72.2374921,2004,Rural,High,Both,Registered,674,Yes,BISE Multan,21,Private Registered,Mixed,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Owned,20,14,39,20,30,35,40,38,29,10,20,22,30,21,20,14,29,20,21,11,34,9,,,24,,,,19,,,,,,,,,,,,,,,,,,7,27,5,2,,PCTB,,,,6,16,1,11,364305,Nausher Ali
KHANEWAL,MIAN CHANNU,CHAK NO.61-A/15-L,7-Nov-16,36490154,SADIQ PUBLIC MIDDLE SCHOOL 76/15.L,67/15L,67/15L VIJEAN WALA,03087946467,6,,30.1624008,72.2236824,2011,Rural,Middle,Both,Registered,586,No,,31,Punjab Education Foundation (PEF),Urdu,18,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Rented,,,45,9,53,10,34,2,35,1,47,,35,,68,,34,,33,,33,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,2,,,PCTB,,6,5,4,,1,,364307,Muhammad Akram
KHANEWAL,MIAN CHANNU,CHAK NO.61-A/15-L,7-Nov-16,36490133,MUSLIM GIRLS HIGHER SECONDARY SCHOOL 67/15.L,67/15L,67/15L ,030665815067,8,2,30.1839865,72.2192168,2008,Rural,HigherSecondary,Girls,Registered,472,Yes,BISE Multan,21,Private Registered,Urdu,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Owned,,,,48,,34,,35,,37,,36,,49,,31,,84,,71,,77,,,97,,,,105,,,,60,,,,70,,,,,,,,,,6,22,4,2,,PCTB,,,5,1,9,5,8,364307,Muhammad Akram
