DistrictName,TehsilName,UCName,VisitDate,RefCode,SchoolName,SchoolMauza,SchoolAddress,PhoneNumber,TotalAreaKanal,TotalAreaMarla,GPS_North,GPS_East,EstablishmentYear,SchoolLocation,SchoolLevel,SchoolGender,RegistrationStatus,RegistrationNo,BISEAffiliated,BISEName,SchoolCategory,School Category,MediumOfInstruction,NoOfClassRooms,Fac_DrinkingWater,Fac_BoundaryWall,Fac_Electricity,Fac_Toilet,Fac_StaffRoom,Fac_PlayGround,Fac_UPSGenerator,Fac_MultipurposeHall,Fac_OfficeComputer,Fac_ComputerLab,Fac_ScienceLab,Fac_Library,Fac_Transport,Fac_Hostel,BuildingOwnership,Enrolment_PN_Boys,Enrolment_PN_Girls,Enrolment_NU_Boys,Enrolment_NU_Girls,Enrolment_PR_Boys,Enrolment_PR_Girls,Enrolment_01_Boys,Enrolment_01_Girls,Enrolment_02_Boys,Enrolment_02_Girls,Enrolment_03_Boys,Enrolment_03_Girls,Enrolment_04_Boys,Enrolment_04_Girls,Enrolment_05_Boys,Enrolment_05_Girls,Enrolment_06_Boys,Enrolment_06_Girls,Enrolment_07_Boys,Enrolment_07_Girls,Enrolment_08_Boys,Enrolment_08_Girls,Enrolment_09S_Boys,Enrolment_09A_Boys,Enrolment_09S_Girls,Enrolment_09A_Girls,Enrolment_10S_Boys,Enrolment_10A_Boys,Enrolment_10S_Girls,Enrolment_10A_Girls,Enrolment_11S_Boys,Enrolment_11A_Boys,Enrolment_11S_Girls,Enrolment_11A_Girls,Enrolment_12S_Boys,Enrolment_12A_Boys,Enrolment_12S_Girls,Enrolment_12A_Girls,Enrolment_OLS_Boys,Enrolment_OLA_Boys,Enrolment_OLS_Girls,Enrolment_OLA_Girls,Enrolment_ALS_Boys,Enrolment_ALA_Boys,Enrolment_ALS_Girls,Enrolment_ALA_Girls,TeachingStaffMale,TeachingStaffFemale,NonTeachingStaffMale,NonTeachingStaffFemale,MultiGradeClassesClubbed,TextBooksUsed,TextBooksOtherName,Teachers_FAFSC_Male,Teachers_FAFSC_Female,Teachers_BABSC_Male,Teachers_BABSC_Female,Teachers_MAMSC_Male,Teachers_MAMSC_Female,EnumeratorID,EnumeratorName
VEHARI,MAILSI,TIBBA SULTAN PUR,5-Nov-16,36390008,THE IDEAL SCHOOL OF SCIENCE ,N/A,WARD NO. 7TIBBA SULTAN PUR ,673692962,,15,29.9722864,71.8795019,2013,Urban,Middle,Both,Registered,732/ EDO,No,,21,Private Registered,Mixed,6,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Owned,,,13,7,6,12,8,3,8,4,3,6,4,6,,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,N+P+1;2+3+4,Others,"PCTBB , OXFORD",,1,1,3,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,9-Nov-16,36390385,DAY LIGHT PUBLIC SCHOOL,SULTAN PUR,WARD NO5 SULTAN PUR,3007313714,,10,29.9729136,71.8778782,1989,Rural,Primary,Both,Registered,782/EE,No,,22,Private Un-Registered,Mixed,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Rented,3,2,7,3,3,3,3,2,3,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,PN-4,PCTB,,,1,,,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,8-Nov-16,36390218,EDUCATIONAL PUBLIC SCHOOL,TIBBA SULTAN PUR,WARD NO 6 TIBBA SULTAN PUR,3034332058,,5,29.9785556,71.8728747,2016,Urban,Primary,Both,Registered,18/EDU,No,,21,Private Registered,Mixed,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Rented,,,7,5,3,2,,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4-Mar,Others,SYED PUBLISHERS,,,,2,,1,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,8-Nov-16,36390208,THE FIRST NATION ENGLISH MEDIUM SCHOOL ,TIBBA SULTAN PURA,WARD NO 6 TIBBA SULTAN PUR,3027453924,,7,29.9785556,71.8728747,2016,Urban,Primary,Both,NotRegistered,,No,,22,Private Un-Registered,English,6,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Rented,7,9,10,13,2,,3,2,,1,1,1,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,PRE-N; PREP-2; 3-5,PCTB,,,,,1,,2,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,8-Nov-16,36390220,THE KPS PUBLIC SCHOOL,TIBBA SULTAN PUR,WARD NO 6 TIBBA SULTAN PUR,3016928688,,7,29.97264,71.8779513,2016,Urban,Primary,Both,NotRegistered,,No,,22,Private Un-Registered,English,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Rented,3,3,3,,3,,2,,2,1,,3,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,PCTB,,1,,1,2,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,9-Nov-16,36390275,NOOR UL HUDA ,BASTI WAZIRABAD,BASTI WAZIRABAD TIBBA SULTAN PUR,3007860336,,11,29.9436758,71.8796461,2014,Rural,Middle,Both,UnderProcess,,No,,22,Private Un-Registered,Mixed,6,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Owned,17,15,5,4,12,10,8,6,5,2,3,,2,,2,,2,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,PRE-PREP ;1-4 ; 5-8,Others,PELICAN,,2,,,1,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,9-Nov-16,36390274,ALI PUBLIC SCHOOL,SULTAN PUR,WARD NO. 3 TIBBA SULTAN PUR ,3003945979,,15,29.9144495,71.8814057,1999,Rural,Middle,Both,Registered,862/ EE,No,,21,Private Registered,Mixed,3,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Rented,,,5,5,6,,5,4,5,5,6,3,,,4,2,4,2,5,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,N+P+1+2+3;5+6+7+8,PCTB,,,1,1,,,,363203,Muhammad Amin
VEHARI,MAILSI,158/WB,14-Nov-16,36390981,HUSSAI PUBLIC MIDDLE SCHOOL,166/WB,CHAK NO 166/WB,3344494081,,12,30.0452266,71.8104162,2015,Rural,Middle,Both,Registered,696/EDO,No,,21,Private Registered,Mixed,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Rented,,,5,8,4,6,3,7,3,8,4,8,4,8,3,8,3,8,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,N-1&3-5,PCTB,,,2,,2,,1,363203,Muhammad Amin
VEHARI,MAILSI,158/WB,14-Nov-16,36390995,IQRA PUBLIC MIDDLE SCHOOL,166/WB,NIZAM TOWN CHAK NO 166/WB,3084222660,,8,30.0135591,71.8092616,2002,Rural,Middle,Both,Registered,642/EE,No,,21,Private Registered,Mixed,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Rented,,,9,15,5,6,8,7,6,8,7,7,6,8,4,8,5,9,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,N-2;7-8,PCTB,,,2,1,1,,,363203,Muhammad Amin
VEHARI,MAILSI,158/WB,12-Nov-16,36390803,AL RIAZ PUBLIC SCHOOL,SAHIB ALI,BASTI ABDULLAABAD,3039252559,,10,29.9841976,71.8678712,2011,Rural,Middle,Both,Registered,466/EDO,No,,21,Private Registered,Mixed,5,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Owned,,,,,8,9,4,10,4,5,8,3,2,5,1,5,,3,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,NURSERY-3,PCTB,,,1,1,2,,,363203,Muhammad Amin
